DOD Component,DOD Country,DOD Joint Base,DOD Status,DOD Site Name,DOD State,Carcinogen,Chemical Name,Classification,Clean Air Act,Date Signed,Elemental Metal,Facility City,Facility County,Facility Name,Facility State,Facility Street,Facility Zip Code,Federal Facility,Metal,Mixture Name,PFAS,Reporting Year,TRI Chemical ID,TRIFD,Unit of Measure,X,Y
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Ethylbenzene,TRI,YES,2021-06-23,NO,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2020,0000100414,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Ethylene glycol,TRI,YES,1996-07-26,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,1995,0000107211,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2002-06-28,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2001,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2003-06-28,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2002,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Benzene,TRI,YES,2003-06-23,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2002,0000071432,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2004-06-17,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2003,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2005-06-17,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2004,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2006-06-15,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2005,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2007-06-25,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2006,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2007,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Naphthalene,TRI,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2007,0000091203,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Toluene,TRI,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2007,0000108883,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Xylene (mixed isomers),TRI,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2007,0001330207,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Benzene,TRI,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2007,0000071432,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2008-06-24,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2007,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Methyl tert-butyl ether,TRI,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2007,0001634044,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Ethylbenzene,TRI,YES,2008-06-30,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2007,0000100414,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Toluene,TRI,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2008,0000108883,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Xylene (mixed isomers),TRI,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2008,0001330207,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Methyl tert-butyl ether,TRI,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2008,0001634044,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Naphthalene,TRI,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2008,0000091203,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2008,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Ethylbenzene,TRI,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2008,0000100414,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Benzene,TRI,YES,2009-06-16,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2008,0000071432,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Ethylbenzene,TRI,YES,2010-06-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2009,0000100414,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Xylene (mixed isomers),TRI,YES,2010-06-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2009,0001330207,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Benzene,TRI,YES,2010-06-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2009,0000071432,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2010-06-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2009,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Naphthalene,TRI,YES,2010-06-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2009,0000091203,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Toluene,TRI,YES,2010-06-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2009,0000108883,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2010-07-01,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON TRAINING RANGES,AK,6326 ARCTIC WARRIOR DR,995064500,YES,YES,,NO,2009,0007439921,99505SRMYF730QU,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2011-06-22,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2010,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2014-06-06,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2011,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2014-06-06,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2011,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,YES,Lead,PBT,YES,2014-06-06,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2012,0007439921,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2014-06-25,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2013,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2015-06-26,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2014,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2016-09-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2015,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2016-09-21,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2015,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2017-06-29,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2016,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2017-06-29,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2016,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2018-07-02,,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2017,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2019-06-24,YES,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2018,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Xylene (mixed isomers),TRI,YES,2020-06-29,NO,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,NO,,NO,2019,0001330207,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2020-06-29,YES,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2019,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2021-06-28,YES,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2020,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Elmendorf - Richardson,ACT,Joint Base Elmendorf-Richardson,Alaska,NO,Lead compounds,PBT,YES,2021-06-28,YES,JBER,ANCHORAGE MUNICIPALITY,US DOD USAF JOINT BASE ELMENDORF-RICHARDSON,AK,6326 ARCTIC WARRIOR DR,995063221,YES,YES,,NO,2020,N420,99506SDDSF11530,Pounds,-149.7,61.258333
AF Active,United States,Joint Base Langley-Eustis,ACT,Joint Base Langley-Eustis,Virginia,NO,Chlorine,TRI,YES,1995-06-02,,FORT EUSTIS,NEWPORT NEWS (CITY),JOINT BASE LANGLEY EUSTIS-EUSTIS (JBLE-EUSTIS) RANGES,VA,705 WASHINGTON BLVD,23604,YES,NO,,NO,1994,0007782505,23604SDDSRFORTE,Pounds,-76.602274,37.121274
AF Active,United States,Joint Base Langley-Eustis,ACT,Joint Base Langley-Eustis,Virginia,NO,Ethylene glycol,TRI,YES,1995-06-02,,FORT EUSTIS,NEWPORT NEWS (CITY),JOINT BASE LANGLEY EUSTIS-EUSTIS (JBLE-EUSTIS) RANGES,VA,705 WASHINGTON BLVD,23604,YES,NO,,NO,1994,0000107211,23604SDDSRFORTE,Pounds,-76.602274,37.121274
